"","inspection_id","license_","facility_type","risk","inspection_date","inspection_type","results","criticalCount","seriousCount","minorCount","pastFail","pastCritical","pastSerious","pastMinor","timeSinceLast","firstRecord","pass_flag"
"66643","545748","1593283","Restaurant","Risk 1 (High)",2012-01-13,"Canvass","Pass",0,0,7,0,0,0,5,0.53972602739726,0,1
"1231","635061","1593364","Restaurant","Risk 1 (High)",2011-10-24,"Canvass","Fail",0,0,0,0,0,0,6,1.07123287671233,0,0
"33524","664209","1593364","Restaurant","Risk 1 (High)",2011-10-25,"Canvass","Pass",0,0,4,1,0,0,0,0.00273972602739726,0,1
"31199","1096298","1593657","Restaurant","Risk 1 (High)",2012-05-04,"Canvass","Pass",0,0,3,0,0,0,3,0.786301369863014,0,1
"16115","1202437","1593783","Restaurant","Risk 1 (High)",2012-09-27,"Canvass","Pass",0,0,3,0,0,0,1,1.35890410958904,0,1
"56274","1146373","1593783","Restaurant","Risk 1 (High)",2013-04-24,"Canvass","Pass",0,0,6,0,0,0,3,0.572602739726027,0,1
"44239","679601","1593859","Restaurant","Risk 1 (High)",2012-03-07,"Canvass","Fail",0,0,0,0,0,0,3,0.994520547945206,0,0
"64665","1206206","1593859","Restaurant","Risk 1 (High)",2012-03-26,"Canvass","Fail",0,2,3,1,0,0,0,0.0493150684931507,0,0
"17860","1227463","1593938","Restaurant","Risk 1 (High)",2012-07-23,"Canvass","Fail",1,2,7,0,0,0,5,1.01095890410959,0,0
"37634","1321969","1593938","Restaurant","Risk 1 (High)",2013-02-21,"Canvass","Pass",0,0,3,0,1,0,7,0.545205479452055,0,1
"76237","1227968","1593965","Restaurant","Risk 2 (Medium)",2013-05-23,"Canvass","Fail",1,2,6,0,0,0,1,0.887671232876712,0,0
"72763","1184251","1594002","Restaurant","Risk 1 (High)",2012-04-11,"Canvass","Pass",0,0,4,0,0,0,4,1.22465753424658,0,1
"69984","1174558","1594002","Restaurant","Risk 1 (High)",2013-07-11,"Canvass","Pass",0,0,4,0,0,0,3,0.575342465753425,0,1
"79947","606482","1594197","Restaurant","Risk 2 (Medium)",2011-11-10,"Canvass","Pass",0,0,5,0,0,0,2,1.0027397260274,0,1
"42589","1184515","1594211","Restaurant","Risk 1 (High)",2012-08-14,"Canvass","Pass",0,0,6,0,0,0,4,1.56438356164384,0,1
